outcome;Shannon;Bray_Curtis;Bacterial_Load;LPS;Flagellin;L_Reuteri;L_Plantarum;B_Animalis
R;0.96335338;0.84951811;0.188602057;0.2342674;0.22282001;NA;NA;NA
R;1.02975309;0.968581469;1.12997722;2.4228755;0.26922588;NA;NA;NA
R;1.00689353;1.181900421;1.681420723;0.3428571;2.50795411;NA;NA;NA
NR;0.998877644;0.967547336;0.452657303;0.597071;0.18913628;NA;NA;NA
NR;0.933384402;1.040356607;0.456667804;0.9469606;1.09952001;0.1995091;NA;NA
NR;1.067737954;0.992096056;2.090674893;1.4559684;1.71134371;0.4140562;NA;NA
R;0.983677181;1.097008744;0.498873223;0.1410041;1.89410137;NA;NA;NA
R;1.028632245;1.067977122;1.566265451;2.511048;0.87713127;NA;NA;NA
R;0.987690575;0.835014135;0.934861326;0.3479479;0.22876735;NA;NA;NA
NR;0.863064752;1.043554328;0.633916777;0.7935001;0.60888367;NA;NA;NA
NR;1.104046847;1.124677716;0.768762514;0.2750668;0.16278266;NA;NA;NA
NR;1.032888401;0.831767956;1.597320709;1.9314331;2.22833367;NA;NA;NA
R;1.205933644;1.186391941;0.810075983;NaN;1.35847845;NA;NA;NA
R;0.841814924;0.976900958;1.122386701;NaN;0.53021472;NA;NA;NA
R;0.952251432;0.836707101;1.067537316;NaN;1.11130683;NA;NA;NA
NR;0.99810137;1.13778825;0.604778253;0.6777255;0.96355755;NA;NA;NA
NR;0.973930142;0.862072331;1.327675841;1.090702;1.66660707;NA;NA;NA
NR;1.027968488;1.000139419;1.067545906;1.2315725;0.36983537;NA;NA;NA
R;1.053561999;0.925128408;0.406841143;0.5755225;1.40659101;0.4451373;NA;NA
R;0.961648217;0.963650731;1.135468961;1.9267453;0.6221865;0.4497771;NA;NA
R;0.984789783;1.111220861;1.457689896;0.4977322;0.97122249;0.236964;NA;NA
NR;1.024861229;1.167266355;2.221112047;0.7631355;0.72605635;NA;NA;NA
NR;0.949856213;1.108843458;0.590700555;1.0699426;1.35552315;NA;NA;NA
NR;1.025282558;0.723890187;0.188187398;1.1669219;0.9184205;NA;NA;NA
