SampleName;Dil2;Dil3;Group;Timepoint;Donor;Responder;Replicate
T0-A-1;0.106604629;0.106491386;Control;T0;7023;R;1
T0-A-2;0.071186211;0.170270532;Control;T0;7023;R;2
T0-A-3;0.100147633;0.135485047;Control;T0;7023;R;3
T0-A-4;0.113328766;0.583911032;Probiotics;T0;7023;R;1
T0-A-5;0.110895568;0.468197431;Probiotics;T0;7023;R;2
T0-A-6;0.117426057;0.535441863;Probiotics;T0;7023;R;3
T0-A-7;0.113254255;0.3988615;Control;T0;7024;NR;1
T0-A-8;0.094267552;0.568883148;Control;T0;7024;NR;2
T0-A-9;0.113926629;0.690161956;Control;T0;7024;NR;3
T0-A-10;0.129772022;0.441351265;Probiotics;T0;7024;NR;1
T0-A-11;0.224891133;0.99117284;Probiotics;T0;7024;NR;2
T0-A-12;0.082920767;0.621808376;Probiotics;T0;7024;NR;3
T0-A-13;0.015376773;0.063363825;Control;T0;7015;R;1
T0-A-14;0.024495997;0.107475889;Control;T0;7015;R;2
T0-A-15;0.028013332;0.184831321;Control;T0;7015;R;3
T0-A-16;0.015590626;0.087375213;Probiotics;T0;7015;R;1
T0-A-17;0.009175745;0.096980115;Probiotics;T0;7015;R;2
T0-A-18;0.014144562;0.101780524;Probiotics;T0;7015;R;3
T0-A-19;0.035427184;1.20709813;Control;T0;7038;NR;1
T0-A-20;0.057147025;0.79658272;Control;T0;7038;NR;2
T0-A-21;0.160593131;2.227652565;Control;T0;7038;NR;3
T0-A-22;0.232256818;1.422377006;Probiotics;T0;7038;NR;1
T0-A-23;0.1501731;0.352534387;Probiotics;T0;7038;NR;2
T0-A-24;0.190042025;1.070994354;Probiotics;T0;7038;NR;3
T0-B-1;0.10281728;1.246609891;Control;T0;7017;R;1
T0-B-2;0.148308169;2.346900519;Control;T0;7017;R;2
T0-B-3;0.070719555;1.506583749;Control;T0;7017;R;3
T0-B-4;0.005468223;0.834731444;Probiotics;T0;7017;R;1
T0-B-5;0.006691698;1.499667549;Probiotics;T0;7017;R;2
T0-B-6;0.005343785;0.609533158;Probiotics;T0;7017;R;3
T0-B-7;0.017607841;0.146620687;Control;T0;7019;NR;1
T0-B-8;0.023797272;0.114539157;Control;T0;7019;NR;2
T0-B-9;0.024064839;0.144167778;Control;T0;7019;NR;3
T0-B-10;0.025033473;0.056652158;Probiotics;T0;7019;NR;1
T0-B-11;0.033041463;0.113316022;Probiotics;T0;7019;NR;2
T0-B-12;0.021804074;0.101780524;Probiotics;T0;7019;NR;3
T0-B-13;0.104521828;0.307316585;Control;T0;7005;R;1
T0-B-14;0.11612044;0.2275262;Control;T0;7005;R;2
T0-B-15;0.050202279;0.267078128;Control;T0;7005;R;3
T0-B-16;0.011750066;0.133935485;Probiotics;T0;7005;R;1
T0-B-17;0.005181126;0.084540967;Probiotics;T0;7005;R;2
T0-B-18;0.003766092;0.099771258;Probiotics;T0;7005;R;3
T0-B-19;0;0.087174428;Control;T0;7014;NR;1
T0-B-20;0.005010219;0.115686744;Control;T0;7014;NR;2
T0-B-21;0.005106698;0.182437352;Control;T0;7014;NR;3
T0-B-22;0.066348771;0.279439709;Probiotics;T0;7014;NR;1
T0-B-23;0.129857401;0.552544509;Probiotics;T0;7014;NR;2
T0-B-24;0.129686699;0.15697716;Probiotics;T0;7014;NR;3
T3-A-1;0.079869706;0.034466862;Control;T3;7023;R;1
T3-A-2;0.328040223;0.123668395;Control;T3;7023;R;2
T3-A-3;0.811422704;5.595480619;Control;T3;7023;R;3
T3-A-4;0.174239159;0.126255703;Probiotics;T3;7023;R;1
T3-A-5;0.077540481;0.0621606;Probiotics;T3;7023;R;2
T3-A-6;0.019652022;0.06355849;Probiotics;T3;7023;R;3
T3-A-7;0.098384919;0.023816223;Control;T3;7024;NR;1
T3-A-8;0.126985783;0.023310284;Control;T3;7024;NR;2
T3-A-9;0.094764857;0.015764978;Control;T3;7024;NR;3
T3-A-10;0.621676979;0.781456299;Probiotics;T3;7024;NR;1
T3-A-11;0.126153338;0.024652446;Probiotics;T3;7024;NR;2
T3-A-12;0.220787529;0.025187517;Probiotics;T3;7024;NR;3
T3-A-13;0.02364127;0.01552503;Control;T3;7015;R;1
T3-A-14;0.143888419;0.028672817;Control;T3;7015;R;2
T3-A-15;0.113254255;0.02194001;Control;T3;7015;R;3
T3-A-16;0.059878891;0.016356096;Probiotics;T3;7015;R;1
T3-A-17;0.051812427;0.015777073;Probiotics;T3;7015;R;2
T3-A-18;0.021519141;0.014578826;Probiotics;T3;7015;R;3
T3-A-19;0.110604208;0.034466862;Control;T3;7038;NR;1
T3-A-20;0.037885363;0.026945951;Control;T3;7038;NR;2
